Exam_Type,Class,language,Subject,Chapter_Name,chapter_number,Question,Question type,Marks,Year,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Reproduction,2,<p>Q. The process of ovulation induced by the hormone is - (a) LH (b) TSH (c) ACTH (d) STH</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Sexual Reproduction in Flowering Plants,1,<p>Q. Which part of the ovule is attached to the funicle? (a) Micropyle (b) Hilum (c) Integuments (d) Chalaza</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,"<p>Q. When human ""need"" is turned to ""greed"", it leads to _____ of natural resources.</p>",Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,"<p>Q. If any protein encoding gene is expressed in a Heterozygous host, it is called _____.</p>",Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,<p>Q. DNA is _____ charged molecules.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Microbes in Human Welfare,8,<p>Q. Cyclosporin-A is produced by the fungus _____.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Evolution,6,<p>Q. Placental wolf and Tasmania wolf similar to a corresponding _____.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,"<p>Q. Physical, emotional, behavioural and social well being refers to ____.</p>",Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Reproduction,2,<p>Q. Carpus luteum is found in Testis.</p>,True False,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,<p>Q. Nucleic acid are long polymers of nucleotides.</p>,True False,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. All microbes are not pathogenic.</p>,True False,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology and Its Applications,10,<p>Q. ADA deficiency can be cured by Lymphocytes.</p>,True False,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Malaria disease is caused by Plasmodium in human.</p>,True False,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Organisms and Populations,11,<p>Q. Lichen represent an intimate parasitic relationship between a fungus and a cyanobacteria.</p>,True False,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Sexual Reproduction in Flowering Plants,1,<p>Q. Which part of the flower forms the fruit?</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. What is Colostrum?</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology: Principles and Processes,9,<p>Q. Write any one Mendalian disorder.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology: Principles and Processes,9,<p>Q. What is restriction enzyme?</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biodiversity and Conservation,13,<p>Q. How many Biodiversity Hot spots are there in the world?</p>,Numerical Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Sexual Reproduction in Flowering Plants,1,<p>Q. Write any two parts of an anther.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Reproduction,2,<p>Q. Write any two parts of a mature ovum.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Principles of Inheritance and Variation,4,<p>Q. Define Monohybrid cross and Dihybrid cross.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Principles of Inheritance and Variation,4,<p>Q. Define Dominant gene and Recessive gene.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,<p>Q. Define DNA.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,<p>Q. Define RNA.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Write the name of Pathogens of the following diseases : (1) Typhoid (2) Pneumonia</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Name a species of fungus which is used in the production of the antibiotics. Who discovered it?</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology and Its Applications,10,<p>Q. Write two advantages of Tissue culture.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Ecosystem,12,<p>Q. Write two components of Ecosystem.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology and Its Applications,10,<p>Q. Write two advantages of Genetic Modified Organism.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Organism and population,#N/A,<p>Q. Explain commensalism with one example.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Ecosystem,12,<p>Q. Draw linear representation of trophic levels of an ecosystem.</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Organism and population,#N/A,<p>Q. Explain Ex-situ conservation with one example.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Sexual Reproduction in Flowering Plants,1,<p>Q. Draw a diagram of longitydinal section of an embryo of grass with three labelling : (1) Scutellum (2) Coleoptile (3) Radicle</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,,#N/A,<p>Q. Write one function of the following: (1) Corpus luteum (2) Acrosome (3) Tapetum</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Principles of Inheritance and Variation,4,<p>Q. Write the definition of the following : (1) Heterozygous (2) Linkage (3) Test cross</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Principles of Inheritance and Variation,4,<p>Q. What is Pedigree? Draw linear diagram with the symbol used in the human pedigree.</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Draw a labelled diagram of Antibody molecule.</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Write the name of drugs obtained from following plants and write one adverse effect of drugs on the body : (1) Papaver somniferum (2) Cannabis sativa (3) Erythroxylum coca</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Ecosystem,12,<p>Q. Draw an Ideal Pyramid of Energy in a ecosystem.</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biodiversity and Conservation,13,<p>Q. What are sacred groves? What is their roles in conservation?</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Reproduction,2,<p>Q. Write differences between Oogenesis and Spermatogenesis. (Any four)</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Reproduction,2,<p>Q. Draw a labelled diagrammatic sectional view of a seminiferous tubules (enlarged).</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Principles of Inheritance and Variation,4,<p>Q. Explain Mendel's law of independent assortment with the help of checker board.</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Molecular Basis of Inheritance,5,<p>Q. Explain process of transcription in bacteria with the help of labelled linear diagram.</p>,Diagram based Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Write notes on the following : (i) Vaccination (ii) Allergy</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Human Health and Disease,7,<p>Q. Describe Cancer disease on the basis of following points : (i) Tumour (ii) Detection (iii) Causes (iv) Treatment</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology: Principles and Processes,9,<p>Q. Explain Recombinant DNA Technology with proper diagram.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Biology,Biotechnology and Its Applications,10,<p>Q. Write the four biotechnical applications in medicine.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electrostatic Potential and Capacitance,2,<p>Q. दो बिन्दु आवेश \( q \) एक-दूसरे से \( 2a \) दूरी पर रखे हैं। इनके ठीक मध्य बिन्दु पर विद्युत् विभव होगा- (i) शून्य (ii) \( \frac{q}{2\pi \varepsilon_0 a} \) (iii) \( \frac{q}{8\pi \varepsilon_0 a} \) (iv) \( \frac{q}{2\pi \varepsilon_0 a^2} \)</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Current Electricity,3,<p>Q. विशिष्ट प्रतिरोध का मात्रक है- (i) ओम (ii) ओम⁻¹ (iii) ओम-मीटर (iv) ओम-मीटर⁻¹</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Current Electricity,3,<p>Q. किसी परिपथ में धारा का मापन करने के लिए लगाते हैं- (i) वोल्टमीटर (ii) अमीटर (iii) धारामापी (iv) वोल्टामीटर</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Alternating Current,7,<p>Q. यांत्रिक ऊर्जा को विद्युत् ऊर्जा में बदलने की युक्ति है- (i) D.C. मोटर (ii) A.C. डायनमो (iii) ट्रान्सफॉर्मर (iv) स्टार्टर</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electromagnetic Waves,8,<p>Q. ओजोनमण्डल अवशोषित करता है- (i) दृश्य प्रकाश (ii) माइक्रो तरंगें (iii) अवरक्त किरणें (iv) पराबैंगनी विकिरण</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. गोलीय दर्पण के ध्रुव से फोकस तक की दूरी को उस दर्पण की _____ कहते हैं।</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. एक स्वस्थ नेत्र की विभेदन सीमा _____ होती है।</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Dual Nature of Radiation and Matter,11,<p>Q. 1 eV = _____ जूल।</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. जेनर डायोड का उपयोग _____ होता है।</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. प्रकाश तरंगों की आवृत्ति _____ कोटि की होती है।</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Atoms,12,<p>Q. इलेक्ट्रॉन का विशिष्ट आवेश कितना होता है?</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. P-प्रकार के अर्द्धचालक कैसे बनाते हैं?</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. प्रवर्धक संबंधी \( \alpha \) और \( \beta \) में संबंध लिखिए।</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electromagnetic Waves,8,<p>Q. टेलीविजन प्रसारण का आविष्कार किसने किया?</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electrostatic Potential and Capacitance,2,<p>Q. धारिता S.I. का मात्रक लिखिए।</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Atoms,12,<p>Q. What is the value of specific charge of an electron?</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. परावर्तन किसे कहते हैं? परावर्तन के नियम लिखिए।</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. लेंस के आवर्धन से क्या अभिप्राय है? इसका सूत्र लिखिए।</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Dual Nature of Radiation and Matter,11,<p>Q. प्रकाश विद्युत् प्रभाव क्या है?</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Dual Nature of Radiation and Matter,11,<p>Q. डी-ब्रॉग्ली तरंगें क्या हैं? डी-ब्रॉग्ली तरंग समीकरण लिखिए।</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. लेसर (LASER) से क्या अभिप्राय है? इसके दो उपयोग लिखिए।</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Moving Charges and Magnetism,4,"<p>Q. बायो-सेवर्ट का नियम लिखिए।</p>
<p>Q. धारा के मात्रक की परिभाषा दीजिए।</p>",Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Moving Charges and Magnetism,4,<p>Q. एक लघु दण्ड चुम्बक के कारण अक्षीय स्थिति में चुम्बकीय क्षेत्र की तीव्रता का सूत्र निगमित कीजिए।</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electromagnetic Induction,6,<p>Q. एक परिनालिका के स्वप्रेरकत्व का व्यंजक निगमित कीजिए तथा बताओ कि इसके मान को कौन-कौन से कारक प्रभावित करते हैं?</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Alternating Current,7,<p>Q. ए. सी. परिपथ के लिए निम्न व्यंजक प्राप्त कीजिए- \( P_{\text{av}} = V_{\text{rms}} \times I_{\text{rms}} \cos \phi \)</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. प्रकाश के व्यतिकरण और विवर्तन में कोई चार अन्तर लिखिए।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. खगोलीय दूरदर्शी का वर्णन निम्न बिन्दुओं के आधार पर कीजिए- (i) नामांकित रेखाचित्र। (ii) आवर्धन क्षमता के लिए सूत्र का निगमन जब अन्तिम प्रतिबिम्ब स्पष्ट दृष्टि की न्यूनतम दूरी पर बने।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. संयुक्त सूक्ष्मदर्शी का वर्णन निम्नलिखित शीर्षकों के आधार पर कीजिए- (i) प्रतिबिम्ब बनने का नामांकित रेखाचित्र। (ii) आवर्धन क्षमता जब अन्तिम प्रतिबिम्ब स्पष्ट दृष्टि की न्यूनतम दूरी पर बने।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. प्रकाश उत्सर्जक डायोड (LED) क्या है? इसका कार्य सिद्धान्त समझाइए तथा बताओ कि उत्सर्जक प्रकाश का रंग किस पर निर्भर करता है?</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electrostatic Potential and Capacitance,2,<p>Q. वान डी ग्राफ जनित्र का वर्णन निम्नलिखित शीर्षकों के अन्तर्गत कीजिए- (i) नामांकित चित्र (ii) सिद्धान्त (iii) उपयोग (कोई दो) (iv) दोष</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electric Charges and Fields,1,<p>Q. सिद्ध कीजिए कि विद्युत्-द्विध्रुव के कारण निरक्षीय स्थिति में किसी बिन्दु पर विद्युत् विभव शून्य होता है।</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electromagnetic Induction,6,<p>Q. दो कुण्डलियों P व S के स्वप्रेरकत्व क्रमशः \( L_1 \) व \( L_2 \) हैं। यदि इनके मध्य आदर्श फ्लक्स युग्मन है तो सिद्ध कीजिए कि इन कुण्डलियों के मध्य अन्योन्य प्रेरकत्व \( M=\sqrt{L_1 L_2} \) होगा।</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Alternating Current,7,<p>Q. प्रत्यावर्ती L-R परिपथ के लिए परिणामी विभवान्तर प्रतिबाधा तथा धारा के व्यंजक निगमित कीजिए तथा धारा व विभवान्तर के बीच कलान्तर दर्शाने वाला ग्राफ खींचिए।</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. पूर्ण तरंग दिष्टकारी के रूप में P-N संधि डायोड के उपयोग का वर्णन निम्न शीर्षकों के अन्तर्गत कीजिए- (i) परिपथ का नामांकित चित्र (ii) कार्यविधि (iii) निवेशी विभव व निर्गत विभव का समय के साथ परिवर्तन आरेख।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. NAND या NOR गेट्स से आप OR AND गेट कैसे प्राप्त करोगे? संकेत बुलियन सूत्र तथा सत्यता सारणी लिखिए।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Current Electricity,3,<p>Q. विभवमापी की सहायता से दो सेलों के विद्युत् वाहक बलों की तुलना करने के प्रयोग का वर्णन निम्नलिखित शीर्षकों के अन्तर्गत कीजिए- (i) परिपथ का रेखाचित्र (ii) सूत्र (iii) प्रेक्षण सारणी (iv) दो सावधानियाँ।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Current Electricity,3,<p>Q. किरचॉफ के नियम की सहायता से व्हीटस्टोन सेतु का सिद्धान्त समझाइए।</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. पतले लेंस के लिए अपवर्तन का सूत्र स्थापित कीजिए \( \frac{1}{f} = (\mu - 1)\left(\frac{1}{R_1} - \frac{1}{R_2}\right) \)</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. विस्थापन विधि द्वारा किसी उत्तल लेंस की फोकस दूरी ज्ञात करने के प्रयोग का वर्णन निम्न शीर्षकों के आधार पर कीजिए- (i) किरण आरेख (ii) सूत्र स्थापना (iii) दोनों पिनों के बीच की दूरी लेंस की फोकस दूरी के चार गुने से अधिक क्यों रखी जाती है?</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. प्रकाशीय संसूचक है - (i) डायोड़ लेसर (ii) लेसर (iii) एल. ई. डी. (iv) फोटो डायोड़</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. धारा लाभ \( \beta \) का मान है - (i) \( \frac{\Delta I_b}{\Delta I_c} \) (ii) \( \frac{I_b}{I_c} \) (iii) \( \frac{\Delta I_c}{\Delta I_b} \) (iv) \( \frac{I_c}{I_b} \)</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Dual Nature of Radiation and Matter,11,<p>Q. एक फोटॉन का तरंग दैर्घ्य 5000 Å है। इसका संवेग होगा - (i) \(1.32 \times 10^{-27}\) कि.ग्रा.×मीटर/सैकेंड (ii) \(1.5 \times 10^{-27}\) कि.ग्रा.×मीटर/सैकेंड (iii) \(2.32 \times 10^{-27}\) कि.ग्रा.×मीटर/सैकेंड (iv) \(5 \times 10^{-27}\) कि.ग्रा.×मीटर/सैकेंड</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. शून्य कैल्विन पर जर्मेनियम है - (i) अतिचालक (ii) सुचालक (iii) कुचालक (iv) अर्धचालक</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electrostatic Potential and Capacitance,2,<p>Q. 1 माइक्रोफैरेड धारिता के गोलीय चालक की त्रिज्या होगी- (i) 90 किमी. (ii) 9 किमी. (iii) 9000 किमी. (iv) \(9 \times 10^{5}\) मीटर</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electric Charges and Fields,1,<p>Q. 1 कूलाम आवेश से गुजरने वाली विद्युत बल रेखाओं की संख्या _____ होती है।</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Atoms,12,<p>Q. इलेक्ट्रॉन का विराम द्रव्यमान _____ होता है।</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. दिष्ट धारा की आवृत्ति _____ होती है।</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electrostatic Potential and Capacitance,2,<p>Q. पृथ्वी का विद्युत विभव _____ माना जाता है।</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. अर्धचालक का प्रतिरोध ताप गुणांक _____ होता है।</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Atoms,12,<p>Q. निऑन लैंप का वर्णक्रम कैसा होता है।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. बूलियन पद \( y=\overline{A}+\overline{B} \) द्वारा किस लॉजिक गेट को दर्शाते हैं।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Alternating Current,7,<p>Q. ट्रांसफार्मर में कोर पटलित होता है। क्यों?</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. सूक्ष्मदर्शी का नाम जो रीडिंग लैंस के रूप में उपयोगी है।</p>,One Word Answer,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. प्रकाश के तरंग दैर्घ्य पर सूक्ष्मदर्शी की विभेदन क्षमता किस प्रकार निर्भर करती है।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. दो प्रकाश स्त्रोतों के कला संबंध्द स्त्रोत होने की दो शर्तें लिखिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. संयुग्मी फोकस को परिभाषित करिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Dual Nature of Radiation and Matter,11,<p>Q. प्रकाश वैद्युत प्रभाव के दो नियम लिखिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Electrostatic Potential and Capacitance,2,<p>Q. संस्तब्ध विभव क्या है।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Wave Optics,10,<p>Q. लेसर किरणों की दो विशेषतायें दीजिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. थर्मिस्टर क्या है उपयोग सहित लिखिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. अति चालकता क्या है? उपयोग सहित लिखिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. क्रांतिक कोण तथा माध्यम के अपवर्तनांक में संबंध स्थापित कीजिये।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. तारे टिमटिमाते हैं कारण लिखिये।</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Current Electricity,3,<p>Q. विद्युत धारा एवं अनुगमन वेग में संबंध स्थापित कीजिये।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Current Electricity,3,<p>Q. यदि किसी चालक तार की लम्बाई खींचकर दो गुनी कर दी जाये तब उसका प्रतिरोध कितने गुना बढ़ जाता है? गणना कीजिये।</p>,Numerical Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. प्रिज्म के पदार्थ के अपवर्तनांक हेतु सूत्र निगमित करिये।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Ray Optics and Optical Instruments,9,<p>Q. कारण दीजिये कि लेंस को द्रव में डुबोने पर उसकी फोकस दूरी बढ़ जाती है। क्यों?</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Moving Charges and Magnetism,4,<p>Q. बायो सेवर्ट के नियम की सहायता से एक लम्बे सीधे धारावाही चालक के कारण किसी बिंदु पर उत्पन्न चुम्बकीय क्षेत्र की तीव्रता का व्यंजक व्युत्पन्न कीजिये।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Magnetism and Matter,5,<p>Q. एक छोटे दंड चुम्बक के दोनो ध्रुवों से बराबर दूरी पर स्थित किसी बिंदु पर चुम्बकीय क्षेत्र की परिणामी तीव्रता का व्यंजक व्युत्पन्न कीजिये।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,Hindi,Physics,Alternating Current,7,<p>Q. सिध्द करिये कि \( I_{\text{rms}} = \frac{I_0}{\sqrt{2}} \) जहाँ \( I_{\text{rms}} \) एवं \( I_0 \) के सामान्य अर्थ हैं।</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
